group,year,units,alpha3,countryCode,region,subRegion,regionCode,subRegionCode
April,1990,50.345,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,1991,79.331,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,1992,77.52,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,1993,32.608,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,1994,76.802,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,1995,62.109,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,1996,70.925,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,1997,64.33,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,1998,85.344,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,1999,54.939,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2000,49.785,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2001,20.69,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2002,56.64,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2003,38.013,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2004,14.77,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2005,24.965,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2006,35.095,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2007,35.631,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2008,37.61,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2009,13.42,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2010,34.97,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2011,28.715,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2012,32.79,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2013,34.935,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2014,39.405,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2015,40.515,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2016,44.83,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2017,35.006,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2018,41.9027,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,2019,51.8419,AGO,24.0,Africa,Sub-Saharan Africa,2.0,202.0
April,1990,122.777,BOL,68.0,Americas,Latin America and the Caribbean,19.0,419.0
April,1991,103.536,BOL,68.0,Americas,Latin America and the Caribbean,19.0,419.0
April,1992,120.235,BOL,68.0,Americas,Latin America and the Caribbean,19.0,419.0
April,1993,50.823,BOL,68.0,Americas,Latin America and the Caribbean,19.0,419.0
April,1994,116.944,BOL,68.0,Americas,Latin America and the Caribbean,19.0,419.0
April,1995,142.485,BOL,68.0,Americas,Latin America and the Caribbean,19.0,419.0
April,1996,124.579,BOL,68.0,Americas,Latin America and the Caribbean,19.0,419.0
